momentum,low_vol,parkinson_vol,high52,liquidity,train_sharpe,test_sharpe,min_sharpe,train_return,test_return,train_dd,test_dd
0.6,0.1,0.2,0.0,0.1,1.797189693200733,1.5568241943131218,1.5568241943131218,0.411080792754531,0.37189537457818966,-0.26375080708113086,-0.21346231808667981
0.2,0.0,0.0,0.3,0.5,1.6472321483042682,1.5563089276851345,1.5563089276851345,0.40347437513607054,0.40559121674989274,-0.24404250846919018,-0.2355821020108777
0.6,0.2,0.2,0.0,0.0,1.9102879164921291,1.5550619401246453,1.5550619401246453,0.4286088753792652,0.35183164344836815,-0.24899776587467415,-0.21259000037105658
0.5,0.2,0.0,0.3,0.0,1.9386907242759768,1.5525413481695804,1.5525413481695804,0.46016716561521753,0.38630685473708626,-0.23961600847003894,-0.20892371453220038
0.5,0.2,0.1,0.1,0.1,1.6837637929036156,1.5500965251799979,1.5500965251799979,0.3612251457208908,0.3492294459741827,-0.23674103456588014,-0.1893308850694121
0.7,0.0,0.0,0.0,0.3,1.8493723859165905,1.5469646244286015,1.5469646244286015,0.5087566769717069,0.4411779225442263,-0.27979493379747644,-0.28760605347576973
0.6,0.0,0.2,0.1,0.1,2.090382189251986,1.5441762061864577,1.5441762061864577,0.5394639817821429,0.38604598050672534,-0.25884278268598304,-0.24013083512874345
0.7,0.0,0.2,0.1,0.0,2.156085173118555,1.5373085908439974,1.5373085908439974,0.5967769323047143,0.3986712706487052,-0.2662913143346912,-0.2669181579418328
0.2,0.0,0.0,0.2,0.6,1.7395882016510569,1.5349615172589728,1.5349615172589728,0.43690694110187356,0.41112809048304877,-0.28551922477817926,-0.23690258252587715
0.3,0.2,0.0,0.3,0.2,1.6470900092806247,1.5333596418801922,1.5333596418801922,0.3263655089217776,0.32836973843586303,-0.2367237927611432,-0.23345185057463436
0.6,0.1,0.3,0.0,0.0,1.90607614406079,1.5304235352061621,1.5304235352061621,0.4302124066399866,0.3396765479627446,-0.2490019125112709,-0.19294914309651334
0.6,0.0,0.1,0.1,0.2,1.7672546799017912,1.5294397380419045,1.5294397380419045,0.47073547757678025,0.4075565440598361,-0.2455468598391205,-0.27280615674052955
0.4,0.1,0.3,0.0,0.2,1.5289350475754095,1.5519403245356054,1.5289350475754095,0.26936662545710366,0.2774009459467368,-0.25271374757214937,-0.1548326127524483
0.4,0.1,0.0,0.1,0.4,1.7910155821044011,1.5225652358290327,1.5225652358290327,0.43359659824206487,0.3929432664379049,-0.2347346057177473,-0.25664083998455733
0.5,0.2,0.2,0.0,0.1,1.665203326136405,1.521905301861975,1.521905301861975,0.33672133070234156,0.325560545810496,-0.23673309750581517,-0.17929792346298223
0.4,0.0,0.0,0.0,0.6,1.891052004894475,1.5213522331085723,1.5213522331085723,0.5179275902069416,0.4285646628890687,-0.27980543172773564,-0.28766920431607435
0.5,0.0,0.1,0.0,0.4,1.6687324458509236,1.5200274991931726,1.5200274991931726,0.43607908495383074,0.40540683112764464,-0.24926243047243746,-0.26536665034060436
